Java开发工程师,深圳市零距互联网科技有限公司,深圳-龙华新区,1.5-2.5万/月,04-27,"深圳-龙华新区,无工作经验,大专,招2人,04-27发布","五险一金,员工旅游,绩效奖金,年终奖金"
JAVA研发工程师,长沙正达信息科技有限公司,长沙-岳麓区,6-8千/月,04-27,"长沙-岳麓区,2年经验,本科,招2人,04-27发布",
Java中级开发工程师,常州飞豚信息技术有限公司,常州-钟楼区,7-9千/月,04-27,"常州-钟楼区,3-4年经验,本科,招2人,04-27发布","五险一金,绩效奖金,年终奖金,通讯补贴,员工旅游,定期体检"
双休+初级Java程序员,湖北华奥星空体育产业联盟发展有限...,武汉-武昌区,4.5-7千/月,04-27,"武汉-武昌区,无工作经验,大专,招5人,04-27发布","五险一金,补充公积金,员工旅游,绩效奖金,年终奖金,弹性工作,定期体检"
Java工程师,陕西绝顶人峰网络科技有限公司,西安-高新技术...,7-8千/月,04-27,"西安-高新技术产业开发区,2年经验,本科,招1人,04-27发布","绩效奖金,全勤奖,通讯补贴,员工旅游,节日福利,免费班车,专业培训,餐饮补贴,交通补贴,弹性工作"
java软件开发助理/实习生/工程师/程序员,极库讯（厦门）科技有限公司,厦门,0.4-1万/月,04-27,"厦门,无工作经验,大专,招3人,04-27发布","五险一金,员工旅游,交通补贴,餐饮补贴,绩效奖金,年终奖金,周末双休"
Java后台开发工程师,深圳市红微芯科技有限公司,深圳-龙岗区,1-1.5万/月,04-27,"深圳-龙岗区,3-4年经验,大专,招2人,04-27发布,普通话,软件工程 电子信息工程","员工旅游,社保,年终奖金"
Java开发工程师,深圳市安邦网络科技有限公司,深圳-龙岗区,1-3万/月,04-27,"深圳-龙岗区,3-4年经验,大专,招2人,04-27发布,软件工程 计算机应用","五险一金,员工旅游,专业培训,弹性工作,股票期权,年终奖金,绩效奖金"
Java高级开发工程师,南京林洋电力科技有限公司,南京-建邺区,0.9-2万/月,04-27,"南京-建邺区,无工作经验,招若干人,04-27发布","五险一金,员工旅游,餐饮补贴,定期体检,专业培训,年终奖金"
Java中高级开发工程师,江苏南极星新能源技术股份有限公司,南京-栖霞区,0.9-1.8万/月,04-27,"南京-栖霞区,3-4年经验,本科,招若干人,04-27发布,软件工程 计算机工程","五险一金,包住宿,免费班车,绩效奖金,全勤奖,包三餐,节日福利,带薪年假,专业培训,定期旅游"
